ISO_2,ISO_3,country,year,final_rank,final,corporate_rank,corporate,income_rank,income,consumption_rank,consumption,property_rank,property,crossborder_rank,crossborder
AU,AUS,Australia,2021,9,71.2926328,29,48.8212853,17,63.3076893,7,82.3807931,4,80.1912566,24,72.3107967
AT,AUT,Austria,2021,18,65.6714802,21,56.6900282,32,45.0607475,13,74.046541,14,64.7845054,7,86.7362849
BE,BEL,Belgium,2021,23,61.6037381,15,63.7661197,11,73.7396778,30,59.6028781,30,45.2103297,18,77.8633265
CA,CAN,Canada,2021,20,64.630148,23,55.34469,27,50.548933,8,81.456585,24,53.9939653,16,80.4480277
CL,CHL,Chile,2021,27,58.1931731,1,100,35,40.6549664,29,59.6545778,12,67.7208366,37,34.3938457
CZ,CZE,Czech Republic,2021,7,75.4915822,8,71.1159122,4,93.1855773,35,52.587767,6,76.9406763,12,82.3173317
DK,DNK,Denmark,2021,28,57.9382624,16,61.1465574,34,42.972388,17,68.8975981,16,62.933541,30,63.2186617
EE,EST,Estonia,2021,1,100,3,99.0669027,1,100,9,80.3265414,1,100,15,80.577607
FI,FIN,Finland,2021,15,67.3666092,7,72.525805,25,54.0874381,15,72.7444314,19,61.4018414,21,74.3296144
FR,FRA,France,2021,35,48.6891127,34,44.0519056,37,37.7896288,21,64.9339062,34,38.4332065,13,80.7258334
DE,DEU,Germany,2021,16,67.1873483,27,49.75385,28,50.4836232,11,74.3803729,11,68.8345904,6,89.9552219
GR,GRC,Greece,2021,29,57.471266,22,56.6467694,10,73.8784197,32,56.7891162,29,45.7973522,25,72.2014241
HU,HUN,Hungary,2021,13,69.0159652,6,75.4246559,9,74.9344129,36,43.0698569,17,62.7267286,4,97.4011905
IS,ISL,Iceland,2021,32,53.7231423,13,65.6121896,36,40.1526913,19,66.9755425,27,49.4832764,31,61.7614436
IE,IRL,Ireland,2021,19,64.6740799,5,79.5449523,30,47.0999208,25,62.5720202,18,61.5753844,19,76.7428559
IL,ISR,Israel,2021,14,67.6473167,17,58.9864862,29,49.1346304,12,74.3526802,10,69.2462133,10,83.2099735
IT,ITA,Italy,2021,37,44.6324915,30,47.6144598,33,43.6317283,28,59.8211006,37,32.6988527,26,69.0975926
JP,JPN,Japan,2021,24,61.5286972,36,35.2731127,21,57.3567872,3,94.5451827,26,50.0909866,27,69.0819074
KR,KOR,Korea,2021,26,60.61668,33,46.6323138,24,55.2371632,2,98.9688853,32,43.0331929,33,57.4516623
LV,LVA,Latvia,2021,2,85.0776693,2,99.5534859,5,86.1324405,27,60.5923746,5,78.0376296,9,84.9249663
LT,LTU,Lithuania,2021,6,76.4553023,4,83.429353,7,80.9837325,24,62.7166829,7,75.5426063,23,72.4769975
LU,LUX,Luxembourg,2021,5,76.5031338,25,53.2000528,20,59.2538297,4,92.4124936,13,65.1657268,5,93.9177429
MX,MEX,Mexico,2021,33,52.4710688,31,47.4295902,16,66.4874689,26,61.2651747,9,70.0411722,36,37.4594601
NL,NLD,Netherlands,2021,12,69.1772324,24,53.2376045,22,57.077262,14,73.439287,21,60.0782673,3,98.5725863
NZ,NZL,New Zealand,2021,3,81.3448162,28,49.7513846,6,83.071743,6,90.4225149,2,87.4244072,22,73.6587356
NO,NOR,Norway,2021,10,70.6333888,11,66.6227617,13,69.8627649,18,67.7761502,15,64.0768369,11,82.4232648
PL,POL,Poland,2021,36,45.6958016,14,65.1399391,12,70.432422,37,25.5031858,31,43.7766649,29,65.6839533
PT,PRT,Portugal,2021,34,49.0393272,35,41.2065074,31,46.0074685,33,55.793454,20,61.0486943,28,66.0164032
SK,SVK,Slovak Republic,2021,11,69.2725227,19,58.6353023,3,95.8770131,34,54.5229354,3,87.1223563,34,55.2252413
SI,SVN,Slovenia,2021,25,61.2834591,12,66.3898066,14,69.6964571,31,57.1981714,25,51.0584892,20,74.7439454
ES,ESP,Spain,2021,30,57.0849096,32,46.7916742,19,61.2570344,10,74.4577287,36,36.435539,17,78.1990654
SE,SWE,Sweden,2021,8,72.9301788,9,70.9425693,18,63.0007538,16,69.5665851,8,73.6641142,14,80.6447876
CH,CHE,Switzerland,2021,4,78.4387012,10,67.7968214,15,67.5496594,1,100,35,36.4370049,2,99.0286671
TR,TUR,Turkey,2021,17,66.7021264,26,52.9319921,8,77.2642363,23,64.11724,22,57.9823381,8,85.7488852
GB,GBR,United Kingdom,2021,22,61.8093104,18,58.9340718,23,56.0616831,22,64.266688,33,38.8866119,1,100
US,USA,United States,2021,21,62.3771132,20,57.323585,26,52.742736,5,92.3002177,28,47.2189793,32,60.268774
